test_set,dataset_folder,method,postprocess,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.62,29,932,331,19188,0.030176899063475548,0.08055555555555556,0.04390613171839516,0.02244582043343653,0.938330078125,0.9536779324055666,0.0463220675944334,0.9194444444444444
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.63,29,932,331,19188,0.030176899063475548,0.08055555555555556,0.04390613171839516,0.02244582043343653,0.938330078125,0.9536779324055666,0.0463220675944334,0.9194444444444444
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.64,29,932,331,19188,0.030176899063475548,0.08055555555555556,0.04390613171839516,0.02244582043343653,0.938330078125,0.9536779324055666,0.0463220675944334,0.9194444444444444
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.65,29,932,331,19188,0.030176899063475548,0.08055555555555556,0.04390613171839516,0.02244582043343653,0.938330078125,0.9536779324055666,0.0463220675944334,0.9194444444444444
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.66,29,932,331,19188,0.030176899063475548,0.08055555555555556,0.04390613171839516,0.02244582043343653,0.938330078125,0.9536779324055666,0.0463220675944334,0.9194444444444444
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.67,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.68,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.69,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.7,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.71,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.72,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.73,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.74,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.75,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.76,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.77,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.78,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.79,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.8,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.81,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.82,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
SCD,DocTamperV1-SCD,grayscale + H95,no_blob,0.83,21,479,339,19641,0.042,0.058333333333333334,0.04883720930232559,0.025029797377830752,0.96005859375,0.9761928429423459,0.023807157057654075,0.9416666666666667
