test_set,tamper_type,analysis_only,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate
TestingSet,generation,True,0.84,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.85,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.86,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.87,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.88,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.89,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.9,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.91,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.92,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.93,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.94,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.95,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.96,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.97,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.98,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,generation,True,0.99,9,291,173,11815,0.03,0.04945054945054945,0.03734439834024896,0.019027484143763214,0.9622395833333334,0.9759623327275732,0.024037667272426896,0.9505494505494505
TestingSet,copy_move,True,0.01,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.02,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.03,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
